GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
prolobjectlink-jpi-jlog/prolobjectlink-jpi,io.github.prolobjectlink.prolog.spi,ServiceProviderLocator,8,0,0,0,3,0,3,0,3,0
prolobjectlink-jpi-jlog/prolobjectlink-jpi,io.github.prolobjectlink.prolog,SyntaxError,23,0,0,0,4,0,2,0,2,0
prolobjectlink-jpi-jlog/prolobjectlink-jpi,io.github.prolobjectlink.prolog,AbstractTerm,384,105,83,12,81,23,69,19,18,14
prolobjectlink-jpi-jlog/prolobjectlink-jpi,io.github.prolobjectlink.prolog,AbstractCompounds,281,0,68,0,79,0,54,0,20,0
prolobjectlink-jpi-jlog/prolobjectlink-jpi,io.github.prolobjectlink.prolog,AbstractProgram,491,0,40,0,99,0,50,0,30,0
prolobjectlink-jpi-jlog/prolobjectlink-jpi,io.github.prolobjectlink.prolog,ArityError,0,11,0,0,0,2,0,1,0,1
prolobjectlink-jpi-jlog/prolobjectlink-jpi,io.github.prolobjectlink.prolog,ListExpectedError,11,0,0,0,2,0,1,0,1,0
prolobjectlink-jpi-jlog/prolobjectlink-jpi,io.github.prolobjectlink.prolog,AbstractClause.BodyIterator,4,33,1,3,1,6,1,4,0,3
prolobjectlink-jpi-jlog/prolobjectlink-jpi,io.github.prolobjectlink.prolog,PrologCallable,23,0,0,0,7,0,3,0,3,0
prolobjectlink-jpi-jlog/prolobjectlink-jpi,io.github.prolobjectlink.prolog,DefaultClauseBuilder,81,118,0,0,22,33,5,10,5,10
prolobjectlink-jpi-jlog/prolobjectlink-jpi,io.github.prolobjectlink.prolog,AbstractEngine,273,114,32,4,60,24,39,17,23,15
prolobjectlink-jpi-jlog/prolobjectlink-jpi,io.github.prolobjectlink.prolog,IndicatorError,11,0,0,0,2,0,1,0,1,0
prolobjectlink-jpi-jlog/prolobjectlink-jpi,io.github.prolobjectlink.prolog,AbstractConverter,506,87,63,7,95,21,50,4,15,4
prolobjectlink-jpi-jlog/prolobjectlink-jpi,io.github.prolobjectlink.prolog,FunctorError,0,11,0,0,0,2,0,1,0,1
prolobjectlink-jpi-jlog/prolobjectlink-jpi,io.github.prolobjectlink.prolog,UnknownTermError,13,0,0,0,2,0,1,0,1,0
prolobjectlink-jpi-jlog/prolobjectlink-jpi,io.github.prolobjectlink.prolog,AbstractIndicator,13,81,7,7,5,21,6,8,0,7
prolobjectlink-jpi-jlog/prolobjectlink-jpi,io.github.prolobjectlink.prolog,AbstractIterator,4,3,0,0,1,1,1,1,1,1
prolobjectlink-jpi-jlog/prolobjectlink-jpi,io.github.prolobjectlink.prolog,AbstractOperator,30,131,17,13,12,29,15,8,0,8
prolobjectlink-jpi-jlog/prolobjectlink-jpi,io.github.prolobjectlink.prolog,PrologScriptEngineFactory,62,189,17,17,15,38,12,20,1,14
prolobjectlink-jpi-jlog/prolobjectlink-jpi,io.github.prolobjectlink.prolog,AbstractBuilder,134,37,24,2,32,10,18,3,5,3
prolobjectlink-jpi-jlog/prolobjectlink-jpi,io.github.prolobjectlink.prolog,AbstractClause,67,329,25,39,18,67,32,29,9,20
prolobjectlink-jpi-jlog/prolobjectlink-jpi,io.github.prolobjectlink.prolog,Prolog,71,12,0,0,20,3,2,1,2,1
prolobjectlink-jpi-jlog/prolobjectlink-jpi,io.github.prolobjectlink.prolog,AbstractEngine.PrologProgramIterator,26,27,1,1,6,7,2,3,1,3
prolobjectlink-jpi-jlog/prolobjectlink-jpi,io.github.prolobjectlink.prolog,AbstractLogger,72,3,0,0,22,1,11,1,11,1
prolobjectlink-jpi-jlog/prolobjectlink-jpi,io.github.prolobjectlink.prolog,PrologRunnable,38,0,0,0,12,0,4,0,4,0
prolobjectlink-jpi-jlog/prolobjectlink-jpi,io.github.prolobjectlink.prolog,PrologError,13,4,0,0,2,2,1,1,1,1
prolobjectlink-jpi-jlog/prolobjectlink-jpi,io.github.prolobjectlink.prolog,PrologScriptEngine,9,180,1,11,3,37,1,15,0,10
prolobjectlink-jpi-jlog/prolobjectlink-jpi,io.github.prolobjectlink.prolog,DefaultPrologIndicator,0,5,0,0,0,2,0,1,0,1
prolobjectlink-jpi-jlog/prolobjectlink-jpi,io.github.prolobjectlink.prolog,AbstractConsole,525,61,44,2,126,16,25,3,2,3
prolobjectlink-jpi-jlog/prolobjectlink-jpi,io.github.prolobjectlink.prolog,AbstractQuery,180,51,17,5,46,15,31,6,20,6
prolobjectlink-jpi-jlog/prolobjectlink-jpi,io.github.prolobjectlink.prolog,CompoundExpectedError,11,0,0,0,2,0,1,0,1,0
prolobjectlink-jpi-jlog/prolobjectlink-jpi,io.github.prolobjectlink.prolog,StructureExpectedError,11,0,0,0,2,0,1,0,1,0
prolobjectlink-jpi-jlog/prolobjectlink-jpi,io.github.prolobjectlink.prolog,AbstractJavaConverter,435,68,84,9,76,16,58,7,8,5
prolobjectlink-jpi-jlog/prolobjectlink-jpi,io.github.prolobjectlink.prolog,DefaultQueryBuilder,70,63,0,0,17,17,5,6,5,6
prolobjectlink-jpi-jlog/prolobjectlink-jpi,io.github.prolobjectlink.prolog,PrologQueryIterator,18,10,2,0,5,4,3,2,2,2
prolobjectlink-jpi-jlog/prolobjectlink-jpi,io.github.prolobjectlink.prolog,ArrayIterator,4,38,1,3,1,8,1,4,0,3
prolobjectlink-jpi-jlog/prolobjectlink-jpi,io.github.prolobjectlink.prolog,AbstractProvider,282,1030,26,2,65,141,41,11,27,11
